1/7/14,76,66,86,66,85,48,97,0.13,0.16,5.09
2/7/14,71,63,79,66,85,50,99,0,0.16,4.5
3/7/14,67,60,73,66,85,49,100,0,0.15,1.89
4/7/14,67,54,79,66,85,48,103,0,0.15,2.4
5/7/14,69,59,79,66,85,49,103,0,0.16,3.27
6/7/14,74,64,83,66,85,48,105,0.03,0.15,1.64
7/7/14,74,68,79,66,85,54,105,0,0.16,4.43
8/7/14,74,67,81,66,85,51,104,0.32,0.16,2.6
9/7/14,72,62,81,66,85,52,103,0,0.16,2.49
10/7/14,71,61,80,66,85,50,105,0,0.16,1.52
11/7/14,71,60,81,66,85,52,104,0,0.16,2.49
12/7/14,74,67,80,66,85,53,103,0.07,0.16,2.7
13/7/14,78,72,84,66,85,49,103,0,0.17,2.78
14/7/14,75,65,85,66,85,48,106,0.39,0.16,2.96
15/7/14,64,56,71,66,85,51,103,0,0.17,2.05
16/7/14,63,53,72,66,85,49,98,0,0.15,2.32
17/7/14,65,53,77,66,85,51,101,0,0.15,3.71
18/7/14,68,57,78,66,85,51,100,0,0.15,2.61
19/7/14,68,58,77,66,85,50,98,0,0.14,1.31
20/7/14,71,60,81,66,85,49,103,0,0.13,4
21/7/14,74,62,85,66,85,46,106,0,0.14,1.89
22/7/14,78,67,88,66,85,49,106,0,0.14,1.82
23/7/14,69,62,76,66,85,46,102,1.61,0.14,1.61
24/7/14,67,58,76,66,85,52,105,0,0.14,1.98
25/7/14,65,56,74,66,85,51,105,0,0.13,2.61
26/7/14,75,67,82,66,85,51,98,0.1,0.13,2.41
27/7/14,76,66,85,66,85,51,100,0.22,0.12,1.86
28/7/14,65,57,73,66,85,51,101,0,0.12,2.95
29/7/14,64,52,75,66,85,51,100,0.21,0.13,0.8
30/7/14,68,57,78,66,84,51,103,0.02,0.13,1.63
31/7/14,70,59,80,66,84,49,98,0,0.12,2.84
1/8/14,72,61,82,65,84,53,97,0.01,0.11,2.86
2/8/14,73,63,82,65,84,52,98,0,0.11,2.53
3/8/14,73,61,84,65,84,50,98,0,0.11,1.72
4/8/14,74,62,85,65,84,49,99,0,0.1,3.81
5/8/14,73,65,81,65,84,51,103,0,0.1,1.65
6/8/14,71,63,79,65,84,50,99,0,0.11,4.46
7/8/14,71,64,78,65,84,49,98,0,0.1,1.08
8/8/14,70,65,74,65,84,48,98,0.03,0.09,1.51
9/8/14,76,68,83,65,84,50,99,0,0.1,2.36
10/8/14,77,70,84,65,84,50,99,0.13,0.1,1.25
11/8/14,75,68,82,65,84,52,99,0.1,0.09,2.07
12/8/14,65,58,71,65,84,47,101,0,0.1,1.93
13/8/14,67,55,79,65,84,48,98,0,0.09,3.08
14/8/14,70,59,81,65,84,48,95,0,0.09,2.72
15/8/14,63,49,77,65,84,45,96,0,0.1,2.26
16/8/14,67,59,75,65,84,50,102,0.09,0.1,1.43
17/8/14,73,65,81,65,84,52,99,0.03,0.11,3.18
18/8/14,76,65,86,65,84,48,98,0,0.11,1.61
19/8/14,76,65,86,64,84,50,100,0.5,0.1,1.65
20/8/14,74,64,83,64,84,50,99,0,0.11,2.22
21/8/14,78,70,86,64,84,47,100,0.16,0.1,1.23
22/8/14,80,73,86,64,84,46,101,0.02,0.1,1.9
23/8/14,79,70,88,64,84,46,96,0.81,0.1,2.07
24/8/14,78,70,86,64,84,49,98,0,0.09,1.75
25/8/14,81,71,90,64,84,49,96,0.78,0.1,1.41
26/8/14,81,69,93,63,84,48,97,0.26,0.11,1.9
27/8/14,79,70,88,63,84,48,97,0,0.1,2.6
28/8/14,75,66,84,63,83,43,96,0,0.1,2.44
29/8/14,78,68,87,63,83,41,97,0,0.1,1.38
30/8/14,75,71,78,63,83,42,95,0.02,0.1,2.16
31/8/14,76,69,83,62,83,44,97,0.01,0.1,2.43
1/9/14,77,71,82,62,83,44,100,0,0.1,7.2
2/9/14,72,65,79,62,82,45,100,1,0.1,2.1
3/9/14,74,64,83,61,82,45,100,0,0.1,2.63
4/9/14,77,66,87,61,82,46,98,0,0.09,6.8
5/9/14,80,70,90,61,82,45,100,0.02,0.1,1.54
6/9/14,67,60,73,60,81,44,99,0,0.1,1.19
7/9/14,65,54,76,60,81,42,98,0,0.11,2.71
8/9/14,68,56,79,60,81,38,97,0,0.1,2.61
9/9/14,69,57,81,59,80,41,98,0,0.1,2.34
10/9/14,75,67,82,59,80,40,96,0.9,0.11,2.6
11/9/14,64,56,71,58,80,39,95,0,0.11,1.78
12/9/14,59,53,64,58,79,40,96,0,0.11,1.08
13/9/14,55,47,63,58,79,39,99,0,0.11,1.8
14/9/14,57,46,68,57,79,37,100,0,0.11,2.93
15/9/14,57,49,65,57,78,42,100,0.54,0.11,2.21
16/9/14,59,50,67,56,78,39,96,0.01,0.09,2.53
17/9/14,56,45,67,56,77,40,93,0,0.1,1.07
18/9/14,61,49,72,55,77,39,95,0,0.09,1.64
19/9/14,63,53,73,55,76,38,93,0,0.11,2.29
20/9/14,67,54,80,54,76,36,94,0.02,0.1,2.2
21/9/14,65,56,74,54,76,35,96,0.04,0.11,1.61
22/9/14,57,47,66,53,75,37,93,0,0.11,1.22
23/9/14,60,47,72,53,75,34,94,0,0.11,2.11
24/9/14,62,47,76,53,74,34,92,0,0.1,1.29
25/9/14,66,54,78,52,74,35,92,0,0.11,2.17
26/9/14,69,55,82,52,73,37,91,0,0.1,1.62
27/9/14,69,56,81,51,73,35,93,0,0.11,2.59
28/9/14,71,58,83,51,72,33,91,0,0.11,1.41
29/9/14,68,54,82,50,72,34,97,0,0.1,2.45
30/9/14,62,52,71,50,72,30,89,0,0.11,1.88
1/10/14,63,49,76,50,71,32,89,0,0.1,2.74
2/10/14,71,60,81,49,71,29,89,0.14,0.11,1.39
3/10/14,59,44,73,49,70,27,90,0.28,0.11,2.61
4/10/14,45,40,49,48,70,31,90,0,0.11,1.55
5/10/14,50,40,59,48,69,31,87,0.13,0.1,2.93
6/10/14,55,42,67,48,69,30,89,0.02,0.11,1.45
7/10/14,54,46,62,47,69,27,90,0.33,0.1,1.65
8/10/14,56,43,68,47,68,28,91,0,0.1,1.02
9/10/14,51,45,56,47,68,30,88,0.02,0.11,1.25
10/10/14,52,49,54,46,67,27,88,0.01,0.1,3.88
11/10/14,50,42,57,46,67,26,86,0,0.1,1.56
12/10/14,54,45,62,46,67,26,86,0.3,0.1,3.01
13/10/14,67,58,76,45,66,24,86,0.57,0.1,0.92
14/10/14,61,55,67,45,66,24,86,0.56,0.1,1.71
15/10/14,55,53,56,45,66,27,87,0.18,0.1,1.14
16/10/14,56,51,61,45,65,26,85,0,0.1,1.65
